long,lat,variety,seeding_rate,seed_spacing,speed
-91.8464005,40.37680765,P1498,34.4661,6.0665,3.72
-91.8464002,40.37682255,P1498,34.4701,6.0658,3.71
-91.8463999,40.37683755,P1498,34.4311,6.0727,3.72
-91.8463997,40.37685235,P1498,34.4351,6.072,3.72
-91.8463995,40.37686725,P1498,34.4121,6.076,3.72
-91.8463994,40.37688215,P1498,34.4411,6.0709,3.71
-91.846399,40.37689715,P1498,34.4361,6.0718,3.72
-91.8463983,40.37691215,P1498,34.4071,6.0769,3.72
-91.8463987,40.37692715,P1498,34.3911,6.0797,3.73
-91.8463986,40.37694195,P1498,34.3861,6.0806,3.72
-91.8463983,40.37695695,P1498,34.4121,6.076,3.72
-91.8463979,40.37697185,P1498,34.4031,6.0776,3.72
-91.8463974,40.37698685,P1498,34.3601,6.0852,3.72
-91.8463972,40.37700185,P1498,34.4001,6.0781,3.73
-91.8463976,40.37701675,P1498,34.3811,6.0815,3.72
-91.8463969,40.37703175,P1498,34.3581,6.0856,3.72
-91.8463968,40.37704655,P1498,34.3251,6.0914,3.71
-91.8463965,40.37706155,P1498,34.3341,6.0898,3.72
-91.8463971,40.37707665,P1498,34.3511,6.0868,3.73
-91.8463964,40.37709155,P1498,34.3321,6.0902,3.73
-91.8463967,40.37710655,P1498,34.3241,6.0916,3.74
-91.8463967,40.37712155,P1498,34.3191,6.0925,3.73
-91.8463967,40.37713665,P1498,34.3271,6.0911,3.74
-91.8463966,40.37715155,P1498,34.3521,6.0866,3.73
-91.8463965,40.37716655,P1498,34.3161,6.093,3.74
-91.8463966,40.37718165,P1498,34.3171,6.0928,3.73
-91.8463962,40.37719665,P1498,34.3311,6.0904,3.74
-91.8463958,40.37721165,P1498,34.3231,6.0918,3.74
-91.8463961,40.37722685,P1498,34.3261,6.0912,3.75
-91.8463957,40.37724175,P1498,34.2581,6.1033,3.75
-91.8463955,40.37725675,P1498,34.2881,6.098,3.75
-91.8463952,40.37727175,P1498,34.3011,6.0957,3.73
-91.8463952,40.37728685,P1498,34.2781,6.0998,3.75
-91.8463952,40.37730205,P1498,34.2431,6.106,3.76
-91.8463948,40.37731705,P1498,34.1881,6.1158,3.76
-91.8463946,40.37733235,P1498,34.2241,6.1094,3.77
-91.8463947,40.37734735,P1498,34.2581,6.1033,3.76
-91.8463943,40.37736245,P1498,34.2881,6.098,3.76
-91.846394,40.37737755,P1498,34.2731,6.1007,3.76
-91.846394,40.37739275,P1498,34.2631,6.1024,3.77
-91.8463938,40.37740775,P1498,34.2791,6.0996,3.76
-91.8463936,40.37742265,P1498,34.3261,6.0912,3.75
-91.8463934,40.37743785,P1498,34.3301,6.0905,3.75
-91.8463931,40.37745295,P1498,34.3511,6.0868,3.75
-91.8463927,40.37746795,P1498,34.3601,6.0852,3.75
-91.8463924,40.37748295,P1498,34.3421,6.0884,3.74
-91.8463923,40.37749805,P1498,34.3101,6.0941,3.75
-91.8463922,40.37751305,P1498,34.3131,6.0936,3.75
-91.8463917,40.37752815,P1498,34.3121,6.0937,3.75
-91.8463916,40.37754325,P1498,34.3061,6.0948,3.76
-91.8463912,40.37755835,P1498,34.2721,6.1008,3.75
-91.8463913,40.37757325,P1498,34.2741,6.1005,3.75
-91.846391,40.37758835,P1498,34.3561,6.0859,3.73
-91.8463902,40.37760335,P1498,34.3261,6.0912,3.75
-91.8463902,40.37761835,P1498,34.3441,6.0881,3.74
-91.84639,40.37763325,P1498,34.3471,6.0875,3.73
-91.8463905,40.37764825,P1498,34.3361,6.0895,3.72
-91.8463889,40.37766315,P1498,34.3901,6.0799,3.73
-91.8463877,40.37767815,P1498,34.3751,6.0826,3.73
-91.8463883,40.37769315,P1498,34.3541,6.0863,3.73
-91.8463898,40.37770805,P1498,34.3801,6.0817,3.73
-91.8463869,40.37772315,P1498,34.4461,6.07,3.73
-91.8463862,40.37773805,P1498,34.5021,6.0602,3.73
-91.846388,40.37775305,P1498,35.6171,5.8705,3.73
-91.8463865,40.37776805,P1498,37.3311,5.6009,3.74
-91.846386,40.37778315,P1498,37.3621,5.5963,3.74
-91.8463875,40.37779815,P1498,37.1471,5.6287,3.74
-91.8463875,40.37781315,P1498,37.2111,5.619,3.74
-91.8463873,40.37782805,P1498,37.2111,5.619,3.74
-91.8463872,40.37784305,P1498,37.2651,5.6108,3.73
-91.8463864,40.37785805,P1498,37.1831,5.6232,3.73
-91.8463866,40.37787295,P1498,37.3121,5.6038,3.73
-91.8463863,40.37788805,P1498,37.2641,5.611,3.74
-91.8463859,40.37790295,P1498,37.2711,5.6099,3.73
-91.8463856,40.37791785,P1498,37.2681,5.6104,3.73
-91.8463858,40.37793285,P1498,37.2671,5.6105,3.72
-91.8463851,40.37794775,P1498,37.2691,5.6102,3.72
-91.8463848,40.37796275,P1498,37.2911,5.6069,3.72
-91.8463847,40.37797775,P1498,37.2601,5.6116,3.73
-91.8463844,40.37799285,P1498,37.2591,5.6117,3.73
-91.8463839,40.37800775,P1498,37.2481,5.6134,3.74
-91.8463841,40.37802275,P1498,37.2581,5.6119,3.73
-91.8463833,40.37803775,P1498,37.2371,5.6151,3.74
-91.8463832,40.37805265,P1498,37.2491,5.6133,3.73
-91.846383,40.37806775,P1498,37.2391,5.6148,3.74
-91.8463826,40.37808275,P1498,37.2281,5.6164,3.74
-91.8463829,40.37809785,P1498,37.2421,5.6143,3.75
-91.8463826,40.37811295,P1498,37.2441,5.614,3.74
-91.8463824,40.37812795,P1498,37.2271,5.6166,3.75
-91.8463826,40.37814295,P1498,37.2401,5.6146,3.75
-91.8463822,40.37815805,P1498,37.2551,5.6123,3.74
-91.846382,40.37817315,P1498,37.2361,5.6152,3.75
-91.846382,40.37818825,P1498,37.2491,5.6133,3.76
-91.8463817,40.37820345,P1498,37.2581,5.6119,3.75
-91.8463819,40.37822165,P1498,37.2221,5.6173,3.96
-91.8463811,40.37823995,P1498,36.8771,5.6699,4.57
-91.8463815,40.37825925,P1498,36.7081,5.696,4.64
-91.8463809,40.37827835,P1498,36.6001,5.7128,4.71
-91.8463803,40.37829735,P1498,35.5441,5.8825,4.74
-91.8463801,40.37831635,P1498,34.7641,6.0145,4.75
-91.8463801,40.37833525,P1498,34.1251,6.1271,4.72
-91.8463794,40.37835425,P1498,34.4861,6.063,4.72
-91.8463792,40.37837335,P1498,34.4971,6.061,4.74
-91.8463793,40.37839225,P1498,34.4861,6.063,4.73
-91.8463786,40.37841115,P1498,34.4731,6.0653,4.73
-91.846378,40.37843015,P1498,34.4871,6.0628,4.71
-91.8463778,40.37844915,P1498,34.4341,6.0721,4.72
-91.8463771,40.37846805,P1498,34.3941,6.0792,4.72
-91.8463766,40.37848705,P1498,34.3791,6.0819,4.72
-91.8463762,40.37850595,P1498,34.4011,6.078,4.72
-91.8463757,40.37852495,P1498,34.4381,6.0714,4.73
-91.8463754,40.37854395,P1498,34.3711,6.0833,4.73
-91.8463746,40.37856295,P1498,34.3831,6.0811,4.73
-91.8463741,40.37858215,P1498,34.3311,6.0904,4.74
-91.8463732,40.37860105,P1498,34.3151,6.0932,4.74
-91.8463732,40.37862005,P1498,34.2921,6.0973,4.74
-91.846372,40.37863915,P1498,34.3041,6.0951,4.74
-91.8463721,40.37865815,P1498,34.3311,6.0904,4.75
-91.8463717,40.37867725,P1498,34.2981,6.0962,4.75
-91.8463716,40.37869625,P1498,34.2991,6.096,4.74
-91.8463713,40.37871525,P1498,34.3231,6.0918,4.74
-91.8463713,40.37873445,P1498,34.2981,6.0962,4.74
-91.846371,40.37875335,P1498,34.3251,6.0914,4.74
-91.8463705,40.37877255,P1498,34.3341,6.0898,4.75
-91.8463703,40.37879165,P1498,34.2891,6.0978,4.75
-91.8463702,40.37881055,P1498,34.3021,6.0955,4.75
-91.8463698,40.37882965,P1498,34.3031,6.0953,4.74
-91.8463696,40.37884855,P1498,34.3011,6.0957,4.73
-91.8463694,40.37886765,P1498,34.2871,6.0982,4.74
-91.8463688,40.37888675,P1498,34.3071,6.0946,4.73
-91.8463686,40.37890575,P1498,34.3061,6.0948,4.74
-91.846368,40.37892475,P1498,34.3151,6.0932,4.74
-91.8463677,40.37894375,P1498,34.3091,6.0943,4.74
-91.8463675,40.37896275,P1498,34.3271,6.0911,4.74
-91.8463672,40.37898185,P1498,34.3381,6.0891,4.75
-91.8463668,40.37900085,P1498,34.3871,6.0804,4.74
-91.8463667,40.37901975,P1498,34.3981,6.0785,4.73
-91.8463665,40.37903885,P1498,34.4141,6.0757,4.73
-91.8463663,40.37905785,P1498,34.4101,6.0764,4.73
-91.8463658,40.37907685,P1498,34.3711,6.0833,4.73
-91.8463652,40.37909585,P1498,34.4011,6.078,4.74
-91.846365,40.37911505,P1498,34.3991,6.0783,4.74
-91.8463648,40.37913215,P1498,34.3701,6.0834,4.65
-91.8463646,40.37914795,P1498,34.6041,6.0423,4
-91.846364,40.37916255,P1498,34.8801,5.9945,3.85
-91.8463636,40.37917685,P1498,35.0671,5.9625,3.74
-91.8463634,40.37918915,P1498,35.1821,5.943,3.49
-91.8463639,40.37919825,P1498,35.4851,5.8923,2.69
-91.846364,40.37919885,P1498,35.4851,5.8923,0.04
-91.846364,40.37920025,P1498,35.4851,5.8923,0.66
-91.8463639,40.37921665,P1498,35.4851,5.8923,2.86
-91.8462204,40.37918285,P1498,35.4851,5.8923,3.38
-91.8462211,40.37916445,P1498,35.4851,5.8923,4.68
-91.8462209,40.37914695,P1498,35.4851,5.8923,4.48
-91.8462208,40.37912885,P1498,35.5121,5.8878,4.48
-91.8462211,40.37911105,P1498,35.5211,5.8863,4.43
-91.8462215,40.37909315,P1498,35.5331,5.8843,4.46
-91.8462216,40.37907525,P1498,35.5471,5.882,4.45
-91.8462219,40.37905665,P1498,35.5071,5.8886,4.5
-91.8462222,40.37903725,P1498,35.4551,5.8973,4.62
-91.8462224,40.37901825,P1498,35.3031,5.9227,4.72
-91.8462228,40.37899915,P1498,35.2501,5.9316,4.77
-91.8462233,40.37898015,P1498,35.2691,5.9284,4.75
-91.8462233,40.37896105,P1498,35.2471,5.9321,4.75
-91.8462237,40.37894215,P1498,34.2611,6.1028,4.74
-91.8462241,40.37892305,P1498,35.4941,5.8908,4.74
-91.8462246,40.37890395,P1498,36.8841,5.6688,4.75
-91.8462246,40.37888495,P1498,36.9451,5.6594,4.74
-91.8462246,40.37886595,P1498,37.1861,5.6228,4.73
-91.8462251,40.37884695,P1498,37.1381,5.63,4.74
-91.8462254,40.37882795,P1498,37.2451,5.6139,4.73
-91.8462259,40.37880905,P1498,37.2211,5.6175,4.73
-91.8462261,40.37878985,P1498,37.3201,5.6026,4.73
-91.8462262,40.37877075,P1498,37.1941,5.6216,4.74
-91.8462265,40.37875175,P1498,37.1921,5.6219,4.75
-91.8462268,40.37873265,P1498,37.1381,5.63,4.75
-91.846227,40.37871365,P1498,37.2351,5.6154,4.74
-91.8462272,40.37869455,P1498,37.2421,5.6143,4.75
-91.8462274,40.37867545,P1498,37.1911,5.622,4.75
-91.8462281,40.37865645,P1498,37.2151,5.6184,4.75
-91.8462285,40.37863725,P1498,37.2541,5.6125,4.76
-91.8462287,40.37861815,P1498,37.2181,5.6179,4.76
-91.8462288,40.37859895,P1498,37.2391,5.6148,4.77
-91.8462291,40.37857985,P1498,37.2321,5.6158,4.77
-91.8462295,40.37856065,P1498,37.2391,5.6148,4.77
-91.8462298,40.37854155,P1498,37.2581,5.6119,4.77
-91.8462304,40.37852235,P1498,37.2861,5.6077,4.77
-91.8462303,40.37850335,P1498,37.6132,5.5589,4.76
-91.8462307,40.37848415,P1498,38.5292,5.4268,4.76
-91.8462308,40.37846505,P1498,38.3392,5.4537,4.75
-91.8462314,40.37844595,P1498,38.3782,5.4481,4.76
